RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
hsa_circ_0034528,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0005944,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0077833,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0087557,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0078077,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0034255,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0007783,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0000065,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0006411,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0001998,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0065618,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0000168,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0079230,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0001495,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0036592,circRNA,Homo sapiens,Blood,Extracellular exosome,0.396358685090047
hsa_circ_0001480,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.795006069178413
hsa_circ_0000194,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.795006069178413
hsa_circ_0005447,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0060551,circRNA,Homo sapiens,Blood,Extracellular vesicle,0.396358685090047
hsa_circ_0008450,circRNA,Homo sapiens,blood samples,Extracellular exosome,0.694505649698505
hsa_circ_0005224,circRNA,Homo sapiens,blood samples,Extracellular exosome,0.694505649698505
hsa_circ_0024377,circRNA,Homo sapiens,Blood|Bile,Extracellular vesicle,0.795006069178413
hsa_circ_0002474,circRNA,Homo sapiens,Blood|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0000264,circRNA,Homo sapiens,Blood|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0002412,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0003574,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0002185,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0000725,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0000375,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0002702,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0000654,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0041150,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0037108,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0001090,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0004366,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0005962,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0006276,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0003148,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0006559,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0001971,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0004062,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0000495,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0004674,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0009013,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0001746,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0077096,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0003600,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0040813,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0056264,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0006490,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0003203,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0003601,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0001675,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0001235,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0003655,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0005138,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0039400,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0001988,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0008199,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0008172,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0004956,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.795006069178413
hsa_circ_0035654,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0007037,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0003958,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0001566,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.815590988686444
hsa_circ_0003237,circRNA,Homo sapiens,Blood|Urine,Extracellular vesicle,0.396358685090047
hsa_circ_0085458,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0005139,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0000524,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.815590988686444
hsa_circ_0004955,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.795006069178413
hsa_circ_0001238,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0002001,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0001534,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0002111,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0000174,circRNA,Homo sapiens,Blood|Urine|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0006916,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0063331,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.795006069178413
hsa_circ_0000591,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0000759,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0002360,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0001805,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0000994,circRNA,Homo sapiens,Blood|Urine|CSF,Extracellular vesicle,0.396358685090047
hsa_circ_0008285,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0000437,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0001380,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0004771,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.795006069178413
hsa_circ_0001445,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.815590988686444
hsa_circ_0000896,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0000419,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.795006069178413
hsa_circ_0004314,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0001730,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.815590988686444
hsa_circ_0000914,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.815590988686444
hsa_circ_0001083,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.396358685090047
hsa_circ_0000284,circRNA,Homo sapiens,Blood|Urine|CSF|Bile,Extracellular vesicle,0.815590988686444
