RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
IGFL2-AS1,lncRNA,Homo sapiens,human CRC cell lines HCT116 cells,Cytoplasm,0.890460238360382
WT1-AS,lncRNA,Homo sapiens,cervical cancer (CC) cell,Cytoplasm,0.795006069178413
HCG18,lncRNA,Homo sapiens,human kidney epithelial cell line HK-2 cells,Cytoplasm,0.904945420481312
GAS5,lncRNA,Homo sapiens,cutaneous squamous cell carcinoma (cSCC) cell,Cytoplasm,0.966370157375562
TMEM132D-AS1,lncRNA,Homo sapiens,non-small cell lung cancer (NSCLC) cell line H1975 cells,Cytoplasm,0.890460238360382
SNHG16,lncRNA,Homo sapiens,SK-N-SH cells,Cytoplasm,0.968399985635632
HOXC-AS3,lncRNA,Homo sapiens,non-small cell lung cancer (NSCLC) cells,Nucleus,0.936216130089154
HOXC-AS3,lncRNA,Homo sapiens,non-small cell lung cancer (NSCLC) cells,Cytoplasm,0.694505649698505
LINC01515,lncRNA,Homo sapiens,human bronchial epithelial (HBE) and human normal lung epithelial (BEAS-2B) cells,Nucleus,0.815590988686444
FOXD2-AS1,lncRNA,Homo sapiens,"gastric cancer (GC) cell lines (MKN-45, AGS)",Cytoplasm,0.904945420481312
TCONS-14036,lncRNA,Homo sapiens,NCI-H1299 and NCI-H2170 cell lines,Cytoplasm,0.694505649698505
NEAT1,lncRNA,Homo sapiens,human LC cell lines TU177 or TU686 cells,Nucleus,0.969808356669669
SCIRT,lncRNA,Homo sapiens,oral squamous cell carcinoma (OSCC) cell,Cytoplasm,0.932913100536013
SCIRT,lncRNA,Homo sapiens,oral squamous cell carcinoma (OSCC) cell,Nucleus,0.954983104551089
LINC01126,lncRNA,Homo sapiens,human embryonic kidney (293T) cells,Cytoplasm,0.890460238360382
lnc-GAN1,lncRNA,Homo sapiens,lung cancer cells(H1299 and H1650) and NSCLC tissues(H460),Cytoplasm,0.836757224078988
lnc-GAN1,lncRNA,Homo sapiens,lung cancer cells(H1299 and H1650) and NSCLC tissues(H460),Nucleus,0.836757224078988
OIP5-AS1,lncRNA,Homo sapiens,HEK293 cells,Nucleus,0.965979856988692
CASC9,lncRNA,Homo sapiens,human BC cells(5637 and J82),Cytoplasm,0.936216130089154
CASC9,lncRNA,Homo sapiens,human BC cells(5637 and J82),Nucleus,0.942621128631126
TYMSOS,lncRNA,Homo sapiens,gastric cancer (GC) cells  (HGC-27 and AGS),Cytoplasm,0.904945420481312
CYTOR,lncRNA,Homo sapiens,non-small cell lung cancer cells,Cytoplasm,0.965979856988692
CASC11,lncRNA,Homo sapiens,cardiac microvascular endothelial cells,Cytoplasm,0.836757224078988
TMPO-AS1,lncRNA,Homo sapiens,COV434 cell,Nucleus,0.815590988686444
TMPO-AS1,lncRNA,Homo sapiens,COV434 cell,Cytoplasm,0.962182309891882
NEAT1,lncRNA,Homo sapiens,trophoblastic cell lines HTR-8/Svneo,Cytoplasm,0.969747172493606
RGMB-AS1,lncRNA,Homo sapiens,human OSA cells(U2OS and MG63),Cytoplasm,0.795006069178413
ZEB1-AS1,lncRNA,Homo sapiens,human cardiac fibroblasts (HCFs),Cytoplasm,0.954983104551089
AL137782.1,lncRNA,Homo sapiens,human lung epithelial cell lines(A549 and BEAS-2B),Nucleus,0.795006069178413
AL137782.1,lncRNA,Homo sapiens,human lung epithelial cell lines(A549 and BEAS-2B),Cytoplasm,0.795006069178413
MALAT1,lncRNA,Homo sapiens,trophoblast cells,Nucleus,0.969791900426803
LINC00958,lncRNA,Homo sapiens,keratinocytes (KCs),Cytoplasm,0.943641791621929
HOTTIP,lncRNA,Homo sapiens,U2OS and Saos-2 cells,Cytoplasm,0.936216130089154
HOTTIP,lncRNA,Homo sapiens,U2OS and Saos-2 cells,Nucleus,0.90145991609349
MSTO2P,lncRNA,Homo sapiens,HT-29 cells,Nucleus,0.836757224078988
linc8087,lncRNA,Homo sapiens,NSCLC cells,Cytoplasm,0.694505649698505
linc8087,lncRNA,Homo sapiens,NSCLC cells,Nucleus,0.694505649698505
CHRM3-AS2,lncRNA,Homo sapiens,glioma cell lines U251 and SHG-44 cells,Cytoplasm,0.694505649698505
LINC00632,lncRNA,Homo sapiens,CD4+ T cells,Nucleus,0.815590988686444
LINC00632,lncRNA,Homo sapiens,CD4+ T cells,Cytoplasm,0.962182309891882
PCAL7,lncRNA,Homo sapiens,LNCaP and VCaP cells,Cytoplasm,0.694505649698505
LINC00680,lncRNA,Homo sapiens,human lung adenocarcinoma cell lines H1650 and H1299 cells,Nucleus,0.694505649698505
LINC00680,lncRNA,Homo sapiens,human lung adenocarcinoma cell lines H1650 and H1299 cells,Cytoplasm,0.836757224078988
SOD2,lncRNA,Homo sapiens,EOC tissues and paired paracancerous tissues,Nucleus,0.904945420481312
PANTR1,lncRNA,Homo sapiens,glioblastoma stem cells (GSCs),Cytoplasm,0.904945420481312
PANTR1,lncRNA,Homo sapiens,glioblastoma stem cells (GSCs),Nucleus,0.904945420481312
LINC01563,lncRNA,Homo sapiens,glioblastoma stem cells (GSCs),Nucleus,0.936216130089154
MALAT1,lncRNA,Homo sapiens,glioblastoma stem cells (GSCs),Nucleus,0.969791900426803
AGAP2-AS,lncRNA,Homo sapiens,BCa cells(5637 and T24),Cytoplasm,0.836757224078988
AGAP2-AS,lncRNA,Homo sapiens,BCa cells(5637 and T24),Nucleus,0.836757224078988
ASAP1-IT1,lncRNA,Homo sapiens,hepatoma cells,Nucleus,0.795006069178413
LINC00511,lncRNA,Homo sapiens,colon cancer (CC) cell lines,Cytoplasm,0.947651008001197
LINC00467,lncRNA,Homo sapiens,human prostate cancer (PC) cell lines 22RV1 and DU145,Cytoplasm,0.962182309891882
LINC01569,lncRNA,Homo sapiens,CRC cell lines SW620 and HCT116 cells,Cytoplasm,0.795006069178413
LOC100505851,lncRNA,Homo sapiens,human breast cancer cell line ZR7530,Nucleus,0.795006069178413
DNAJC3-DT,lncRNA,Homo sapiens,HCC cell lines HepG2 and Huh7 cells,Nucleus,0.815590988686444
DNAJC3-DT,lncRNA,Homo sapiens,HCC cell lines HepG2 and Huh7 cells,Cytoplasm,0.795006069178413
NORAD,lncRNA,Homo sapiens,LC cells,Cytoplasm,0.954983104551089
BANCR,lncRNA,Homo sapiens,ectopic ESCs (Ect-ESCs),Cytoplasm,0.694505649698505
LINC01410,lncRNA,Homo sapiens,GBC cells,Cytoplasm,0.954983104551089
FER1L4,lncRNA,Homo sapiens,PTC cells(K-1 and TPC-1),Cytoplasm,0.904945420481312
HOXD-AS2,lncRNA,Homo sapiens,human HCC cell lines Bel-7402 cells,Nucleus,0.815590988686444
HOXD-AS2,lncRNA,Homo sapiens,human HCC cell lines Bel-7402 cells,Cytoplasm,0.836757224078988
BBOX1-AS1,lncRNA,Homo sapiens,human CRC cell lines (HCT116 and Colo205),Cytoplasm,0.836757224078988
LINC01303,lncRNA,Homo sapiens,oral squamous cell carcinoma (OSCC) cells,Cytoplasm,0.795006069178413
SAMMSON,lncRNA,Homo sapiens,vascular smooth muscle cells (VSMCs),Nucleus,0.815590988686444
SAMMSON,lncRNA,Homo sapiens,vascular smooth muscle cells (VSMCs),Cytoplasm,0.694505649698505
LINC00472,lncRNA,Homo sapiens,NSCLC tissues and cells,Cytoplasm,0.890460238360382
CDKN2B-AS1,lncRNA,Homo sapiens,nasopharyngeal carcinoma (NPC) tissues,Cytoplasm,0.943641791621929
PCAT6,lncRNA,Homo sapiens,T24T and EJ cells,Cytoplasm,0.795006069178413
SOX2-OT,lncRNA,Homo sapiens,HepG2 and Huh7 cells,Cytoplasm,0.936216130089154
TRPM2-AS,lncRNA,Homo sapiens,T24 and 5637 cell lines,Cytoplasm,0.904945420481312
ACTA2-AS1,lncRNA,Homo sapiens,AGS and HGC27 cells,Cytoplasm,0.890460238360382
PACERR,lncRNA,Homo sapiens,SW480 cells,Nucleus,0.954983104551089
LINC01615,lncRNA,Homo sapiens,gastric cancer cell lines,Cytoplasm,0.795006069178413
LINC00847,lncRNA,Homo sapiens,PC cells(BxPC-3 and PANC-1),Cytoplasm,0.904945420481312
